Image,Method,Entropy,NPCR,UACI,Horizontal_Correlation,Vertical_Correlation,Diagonal_Correlation,Encryption_Time,Decryption_Time,Lossless_Decryption,Chi_Square,Key_Sensitivity_NPCR,Key_Sensitivity_Diff_Percent,Diff_Attack_HighRisk_NPCR,Diff_Attack_LowRisk_NPCR,Diff_Attack_HighRisk_UACI,Diff_Attack_LowRisk_UACI
person103_bacteria_489.jpeg,RA-MIE,7.999918597389735,99.60707885304659,33.444399114484504,-0.01638191139446263,0.013409372000597941,0.004782223215242665,1.6607528999447823,1.7066936999908648,True,251.8973476702509,99.59547491039427,99.59547491039427,,99.60896057347671,,33.47890470166561
person109_bacteria_522.jpeg,Full Encryption,7.99993203397189,99.61251107809404,33.48521199025434,-0.08368091043661227,0.01882011707164683,0.00951543192463773,1.1802450999966823,1.140311199997086,True,231.4271713064331,99.59670850276301,99.59670850276301,,,,
person109_bacteria_522.jpeg,ROI Encryption,7.218657609448863,2.0264766447711398,0.6815449175186705,0.978342849411731,0.9879744405928353,0.9734726956385588,0.3372549999621697,0.02487879997352138,True,9188952.486914815,2.021874348347409,2.021874348347409,,,,
person109_bacteria_522.jpeg,RA-MIE,7.999937907214331,99.61528060160568,33.45542539753363,0.002128447506689617,0.033588157959065536,-0.006834053324786659,2.3181911000283435,2.1495215999893844,True,211.29058492336566,99.60693130278386,99.60693130278386,99.61405875299761,99.6116557840684,33.4986092008746,33.450062680034996
1 no.jpeg,Full Encryption,7.9998648151092935,99.60519022423784,33.485387241316275,-0.3894037453045044,-0.013596231737846303,-0.005604998806794067,0.5572809000150301,0.5464861000073142,True,222.96153859074494,99.58192659779961,99.58192659779961,,,,
1 no.jpeg,ROI Encryption,6.386123600086418,47.48794826572605,15.952456373495899,0.6256595058141722,0.717896983996218,0.7341549122993039,0.45867700001690537,0.24502009997377172,True,18363186.249795914,47.49046779205509,47.49046779205509,,,,
1 no.jpeg,RA-MIE,7.9998421036162926,99.61501637692113,33.4158954116626,-0.19057772672495338,0.020986143801881095,-0.03596980504751475,0.611144799971953,0.5379337000194937,True,260.7911447047955,99.57604770303183,99.57604770303183,,99.61501637692113,,33.4158954116626
Covid (1001).png,Full Encryption,7.999417962064297,99.60804960804961,33.475636318773574,-0.23174920471011862,-0.01102849924783322,0.0014547689353001214,0.14270200004102662,0.14669740002136678,True,248.05142805142805,99.54662454662456,99.54662454662456,,,,
Covid (1001).png,ROI Encryption,7.999417962064297,99.60804960804961,33.475636318773574,-0.23181766537488824,-0.0273889917654521,0.005691532056139325,0.22339569998439401,0.13705530000152066,True,248.05142805142805,99.54662454662456,99.54662454662456,,,,
Covid (1001).png,RA-MIE,7.999351282841635,99.61129961129961,33.50245075735272,0.0058136196081900095,0.0032843484088905936,0.00423005956150361,0.42451549996621907,0.4038324999855831,True,276.2978562978563,99.5999245999246,99.5999245999246,99.61129961129961,,33.50245075735272,
chest_xray_01.jpg,Full Encryption,7.999985832437122,99.60675416650714,33.45698665873738,-0.19639127918075178,-0.030858272409182538,-0.020598711313302622,6.626494300027844,6.694258200004697,True,250.9253311310001,99.60667586967618,99.60667586967618,,,,
chest_xray_01.jpg,ROI Encryption,7.999985832437122,99.60675416650714,33.45698665873738,-0.1937094562603276,0.031093281633638642,-0.026725417130782046,8.487740199954715,7.888661300006788,True,250.9253311310001,99.60667586967618,99.60667586967618,,,,
chest_xray_01.jpg,RA-MIE,7.999987836551609,99.61030884263269,33.46778517343544,-0.0548779080282327,-0.015464789934950983,-0.017929871749013865,9.88863380003022,8.905604899977334,True,215.29826363466887,99.60521954862034,99.60521954862034,,99.60764675038007,,33.46012725209339
N15.jpg,Full Encryption,7.998657547858198,99.6233744855967,33.4321839748245,-0.14139430694095034,-0.00945503693981983,-0.015160805852343395,0.08153600001242012,0.06784400000469759,True,282.31294814814817,99.55818930041153,99.55818930041153,,,,
N15.jpg,ROI Encryption,7.998657547858198,99.6233744855967,33.4321839748245,-0.11768695163559655,0.02670998929357187,-0.002874675861905723,0.6569493999704719,0.16280980000738055,True,282.31294814814817,99.55818930041153,99.55818930041153,,,,
N15.jpg,RA-MIE,7.998782830494791,99.62600823045268,33.53068086823207,-0.016323197806457444,0.022506224666651264,0.018819457911145657,0.19546570000238717,0.16655809996882454,True,256.58062880658434,99.61020576131688,99.61020576131688,99.64971193415639,99.62600823045268,33.54336415718551,33.53068086823207
